Date	Open	High	Low	Close*	Adj Close**	Volume
11-Jul-17	"21,410.17"	"21,441.62"	"21,279.30"	"21,409.07"	"21,409.07"	"2,475,700"
10-Jul-17	"21,381.23"	"21,446.39"	"21,371.11"	"21,408.52"	"21,408.52"	"2,703,400"
7-Jul-17	"21,354.66"	"21,425.82"	"21,350.72"	"21,414.34"	"21,414.34"	"2,422,400"
6-Jul-17	"21,423.93"	"21,433.10"	"21,305.38"	"21,320.04"	"21,320.04"	"3,204,500"
5-Jul-17	"21,492.83"	"21,505.36"	"21,404.76"	"21,478.17"	"21,478.17"	"2,736,900"
3-Jul-17	"21,392.30"	"21,562.75"	"21,391.71"	"21,479.27"	"21,479.27"	"1,868,100"
30-Jun-17	"21,348.60"	"21,426.12"	"21,325.08"	"21,349.63"	"21,349.63"	"3,132,600"
29-Jun-17	"21,487.38"	"21,487.38"	"21,197.08"	"21,287.03"	"21,287.03"	"3,367,500"
28-Jun-17	"21,372.36"	"21,478.75"	"21,372.36"	"21,454.61"	"21,454.61"	"2,715,100"
27-Jun-17	"21,411.19"	"21,440.60"	"21,310.66"	"21,310.66"	"21,310.66"	"2,921,700"
26-Jun-17	"21,434.68"	"21,506.21"	"21,381.25"	"21,409.55"	"21,409.55"	"2,418,800"
23-Jun-17	"21,380.92"	"21,421.79"	"21,333.89"	"21,394.76"	"21,394.76"	"3,684,000"
22-Jun-17	"21,407.98"	"21,456.47"	"21,394.81"	"21,397.29"	"21,397.29"	"2,706,800"
21-Jun-17	"21,466.39"	"21,492.62"	"21,390.00"	"21,410.03"	"21,410.03"	"2,925,000"
20-Jun-17	"21,521.25"	"21,535.03"	"21,464.24"	"21,467.14"	"21,467.14"	"3,102,000"
19-Jun-17	"21,444.75"	"21,528.99"	"21,436.08"	"21,528.99"	"21,528.99"	"2,894,000"
16-Jun-17	"21,335.93"	"21,384.42"	"21,308.01"	"21,384.28"	"21,384.28"	"6,032,600"
15-Jun-17	"21,291.69"	"21,367.28"	"21,261.87"	"21,359.90"	"21,359.90"	"3,172,000"
14-Jun-17	"21,342.71"	"21,391.97"	"21,294.09"	"21,374.56"	"21,374.56"	"2,950,900"
13-Jun-17	"21,256.83"	"21,332.77"	"21,256.83"	"21,328.47"	"21,328.47"	"3,235,100"
12-Jun-17	"21,259.95"	"21,277.08"	"21,186.15"	"21,235.67"	"21,235.67"	"5,280,800"
